Physical Collection Name (Islandora),Unique ID# (Islandora),Title (Islandora),Description (Islandora),Date (Islandora),Notes (Islandora),Subject (Islandora),Location (Geographic) (Islandora),Subjects_GPT-OSS
Kerr-McGee Corporation collection,WHC-P-2232_0006,"Kerr Inn Service gas station in Oklahoma City, Oklahoma","Black and white photograph depicting the Kerr Inn Service gas station in Oklahoma City, Oklahoma described as Lou Lindsay's Gas Station, looking southeast. The service station was located on the northeast corner of N Walker Ave. and Couch Dr. in Oklahoma City.",circa 1937,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0007,"Kerr-McGee service station in Oklahoma City, Oklahoma","Color photograph depicting a Kerr-McGee service station in Oklahoma City, Oklahoma at the southeast corner of S May Ave and SW 59th St, looking southwest. A Winchell's Donuts and Tastee-Freez fast food restaurant are seen in the background. ",1976,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0008,Deep Rock service station,Color photograph of a woman in an automobile at a Deep Rock service station and a man working as a gas station attendant.,circa 1955-1959,The Kerr-McGee Corporation purchased Deep Rock in 1955.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0011,Three workers on drilling rig drill floor,Black and white photograph of three unidentified workers on a drilling rig drill floor.,circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0012,"Big Hole Drilling drill bit and workers in Grants, New Mexico","Black and white photograph of a Big Hole Drilling drill bit and two unidentified workers drilling near Ambrosia Lake in Grants, New Mexico in 1969.",1969,"Big Hole Drillers, a Kerr-McGee Corporation subsidiary, used this 75,000 lb. drill bit used to sink a uranium mine shaft at Ambrosia Lake, New Mexico, 1969.",,,
Kerr-McGee Corporation collection,WHC-P-2232_0013,Casing and rig used for mine shaft drilled by Big Hole Drillers in New Mexico,"Black and white photograph of casing and rig used for a mine shaft drilled by Big Hole Drillers near Ambrosia Lake in Grants, New Mexico, 1969",1969,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0014,Workers standing on oil drilling rig floor,"Black and white photograph of six unidentified workers standing on oil drilling rig floor, circa 1930-1939",circa 1930-1939,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0015,Moss-American lumberjack felling a tree,Black and white photograph of a Moss-American lumberjack felling a tree.,circa 1960-1974,Moss-American was a Kerr-McGee Corporation subsidiary.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0016,Kerr-McGee Forest Products worker with wooden poles,"Black and white photograph of a Kerr-McGee Forest Products worker in Texarkana, Texas standing atop wooden poles, 1965",1965,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0017,Kerr-McGee Corporation coal earthmoving equipment,"Black and white photograph of Kerr-McGee Corporation coal earthmoving equipment manufactured by Bucyrus-Erie taken in 1977. The photograph was likely taken at Jacobs Ranch Mine near Wright, Wyoming.",1977,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0018,Kerr-McGee Corporation coal exploration worker in Wyoming,"Back and white photograph depicting a Kerr-McGee Corporation coal exploration worker in Wyoming, two pickup trucks, and rig equipment.",circa 1970-1979,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0019,Moss-American worker pulling logs with a tractor,Black and white photograph of a Moss-American worker pulling four logs through a forest with a tractor.,circa 1960-1969,Moss-American was a Kerr-McGee Corporation subsidiary.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0024,Cato Oil and Grease Company workers on a production line,Black and white photograph depicting two men working on a production line sealing lids on buckets of Mystik JT-6 Multipurpose Grease at a Cato Oil and Grease Company plant.,circa 1964-1980,The Oklahoma City-based Cato Oil and Grease Company was a subsidiary of the Kerr-McGee Corporation,,,
Kerr-McGee Corporation collection,WHC-P-2232_0025,Man checking corn for harvest,Black and white photograph depicting a man checking corn for harvest. The photograph was used in an advertisement for Kerr-McGee fertilizer.,circa 1950-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0026,Crop being harvested in a combine harvester,"Black and white photograph depicting a crop, likely soybeans, being harvested by a harvester combine. The photograph depicts the crop being deposited from an auger into a bin. The photograph was likely used in an advertisement for Kerr-McGee Fertilizer.",circa 1950-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0028,"Anderson and Kerr Drilling Company steam boiler rigs near St. Louis, Oklahoma","Black and white photograph depicting the first Anderson and Kerr Drilling Company steam boiler rigs two miles north of St. Louis, Oklahoma circa 1922.",circa 1922,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0030,Mine worker operating a winch,Black and white photograph depicting a mine worker operating a winch in an unidentified mine.,circa 1960-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0031,Laboratory technician working with plutonium pellets,"Black and white photograph depicting a laboratory worker, likely a Kerr-McGee Corporation employee, working with plutonium pellets using encased rubber gloves in a glovebox.",circa 1965-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0033,Cato Oil and Grease Company employee working with the grease machine in production,Black and white photograph depicting a Cato Oil and Grease Company employee working with the grease machine in production in 1977.,1977,,,,
