Physical Collection Name (Islandora),Unique ID# (Islandora),Title (Islandora),Description (Islandora),Date (Islandora),Notes (Islandora),Subject (Islandora),Location (Geographic) (Islandora),Subjects_GEMMA4
Kerr-McGee Corporation collection,WHC-P-2232_0006,"Kerr Inn Service gas station in Oklahoma City, Oklahoma","Black and white photograph depicting the Kerr Inn Service gas station in Oklahoma City, Oklahoma described as Lou Lindsay's Gas Station, looking southeast. The service station was located on the northeast corner of N Walker Ave. and Couch Dr. in Oklahoma City.",circa 1937,,,,"corporate_name: Kerr Inn Service | form_genre: Photographs | geographic: Oklahoma | geographic: Oklahoma City, Oklahoma | personal_name: Lou Lindsay | topical: Automobiles | topical: Gas stations | topical: Service stations"
Kerr-McGee Corporation collection,WHC-P-2232_0007,"Kerr-McGee service station in Oklahoma City, Oklahoma","Color photograph depicting a Kerr-McGee service station in Oklahoma City, Oklahoma at the southeast corner of S May Ave and SW 59th St, looking southwest. A Winchell's Donuts and Tastee-Freez fast food restaurant are seen in the background. ",1976,,,,"corporate_name: Kerr-McGee Corporation | corporate_name: Tastee-Freez | corporate_name: Winchell's Donuts | form_genre: Color photographs | form_genre: Photographs | geographic: Oklahoma | geographic: Oklahoma City, Oklahoma | topical: Commercial architecture | topical: Donut shops | topical: Fast food restaurants | topical: Gas stations"
Kerr-McGee Corporation collection,WHC-P-2232_0008,Deep Rock service station,Color photograph of a woman in an automobile at a Deep Rock service station and a man working as a gas station attendant.,circa 1955-1959,The Kerr-McGee Corporation purchased Deep Rock in 1955.,,,corporate_name: Deep Rock | form_genre: Color photographs | form_genre: Photographs | topical: Automobiles | topical: Gas station attendants | topical: Gas stations | topical: Service stations
Kerr-McGee Corporation collection,WHC-P-2232_0011,Three workers on drilling rig drill floor,Black and white photograph of three unidentified workers on a drilling rig drill floor.,circa 1970-1985,,,,form_genre: Black-and-white photographs | form_genre: Photographs | topical: Drilling rigs | topical: Industrial workers | topical: Oil industry | topical: Oil rigs
Kerr-McGee Corporation collection,WHC-P-2232_0012,"Big Hole Drilling drill bit and workers in Grants, New Mexico","Black and white photograph of a Big Hole Drilling drill bit and two unidentified workers drilling near Ambrosia Lake in Grants, New Mexico in 1969.",1969,"Big Hole Drillers, a Kerr-McGee Corporation subsidiary, used this 75,000 lb. drill bit used to sink a uranium mine shaft at Ambrosia Lake, New Mexico, 1969.",,,chronological: 1969 | corporate_name: Big Hole Drilling | form_genre: Photographs | geographic: Ambrosia Lake (N.M.) | geographic: Grants (N.M.) | geographic: New Mexico | topical: Drilling | topical: Mining equipment | topical: Uranium mining
Kerr-McGee Corporation collection,WHC-P-2232_0013,Casing and rig used for mine shaft drilled by Big Hole Drillers in New Mexico,"Black and white photograph of casing and rig used for a mine shaft drilled by Big Hole Drillers near Ambrosia Lake in Grants, New Mexico, 1969",1969,,,,chronological: 1969 | corporate_name: Big Hole Drillers | form_genre: Photographs | geographic: Ambrosia Lake (N.M.) | geographic: Grants (N.M.) | geographic: New Mexico | topical: Drilling | topical: Mine shafts | topical: Mining | topical: Uranium mining
Kerr-McGee Corporation collection,WHC-P-2232_0014,Workers standing on oil drilling rig floor,"Black and white photograph of six unidentified workers standing on oil drilling rig floor, circa 1930-1939",circa 1930-1939,,,,chronological: 1930-1939 | form_genre: Photographs | topical: Drilling | topical: Oil industry | topical: Oil rigs | topical: Oil workers
Kerr-McGee Corporation collection,WHC-P-2232_0015,Moss-American lumberjack felling a tree,Black and white photograph of a Moss-American lumberjack felling a tree.,circa 1960-1974,Moss-American was a Kerr-McGee Corporation subsidiary.,,,form_genre: Black-and-white photographs | form_genre: Photographs | topical: Forestry | topical: Logging | topical: Lumberjacks | topical: Woodcutting
Kerr-McGee Corporation collection,WHC-P-2232_0016,Kerr-McGee Forest Products worker with wooden poles,"Black and white photograph of a Kerr-McGee Forest Products worker in Texarkana, Texas standing atop wooden poles, 1965",1965,,,,chronological: 1965 | corporate_name: Kerr-McGee Forest Products | form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Texarkana (Texas) | geographic: Texas | topical: Forest products industry | topical: Forestry workers | topical: Industrial photography | topical: Utility poles
Kerr-McGee Corporation collection,WHC-P-2232_0017,Kerr-McGee Corporation coal earthmoving equipment,"Black and white photograph of Kerr-McGee Corporation coal earthmoving equipment manufactured by Bucyrus-Erie taken in 1977. The photograph was likely taken at Jacobs Ranch Mine near Wright, Wyoming.",1977,,,,chronological: 1977 | corporate_name: Bucyrus-Erie | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Jacobs Ranch Mine | geographic: Wright (Wyoming) | geographic: Wyoming | topical: Bucyrus-Erie company | topical: Coal mining | topical: Earthmoving equipment | topical: Surface mining
Kerr-McGee Corporation collection,WHC-P-2232_0018,Kerr-McGee Corporation coal exploration worker in Wyoming,"Back and white photograph depicting a Kerr-McGee Corporation coal exploration worker in Wyoming, two pickup trucks, and rig equipment.",circa 1970-1979,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Wyoming | topical: Coal | topical: Coal exploration | topical: Drilling rigs | topical: Mining
Kerr-McGee Corporation collection,WHC-P-2232_0019,Moss-American worker pulling logs with a tractor,Black and white photograph of a Moss-American worker pulling four logs through a forest with a tractor.,circa 1960-1969,Moss-American was a Kerr-McGee Corporation subsidiary.,,,form_genre: Black-and-white photographs | form_genre: Photographs | topical: Forestry | topical: Forestry workers | topical: Logging | topical: Tractors
Kerr-McGee Corporation collection,WHC-P-2232_0024,Cato Oil and Grease Company workers on a production line,Black and white photograph depicting two men working on a production line sealing lids on buckets of Mystik JT-6 Multipurpose Grease at a Cato Oil and Grease Company plant.,circa 1964-1980,The Oklahoma City-based Cato Oil and Grease Company was a subsidiary of the Kerr-McGee Corporation,,,corporate_name: Cato Oil and Grease Company | form_genre: Photographs | topical: Grease | topical: Industrial plants | topical: Manufacturing processes | topical: Production lines
Kerr-McGee Corporation collection,WHC-P-2232_0025,Man checking corn for harvest,Black and white photograph depicting a man checking corn for harvest. The photograph was used in an advertisement for Kerr-McGee fertilizer.,circa 1950-1980,,,,corporate_name: Kerr-McGee | form_genre: Advertisements | form_genre: Photographs | topical: Advertising | topical: Agriculture | topical: Corn | topical: Fertilizers | topical: Harvesting
Kerr-McGee Corporation collection,WHC-P-2232_0026,Crop being harvested in a combine harvester,"Black and white photograph depicting a crop, likely soybeans, being harvested by a harvester combine. The photograph depicts the crop being deposited from an auger into a bin. The photograph was likely used in an advertisement for Kerr-McGee Fertilizer.",circa 1950-1980,,,,corporate_name: Kerr-McGee Corporation | form_genre: Advertisements | form_genre: Photographs | topical: Combine harvesters | topical: Fertilizers | topical: Harvesting | topical: Soybeans
Kerr-McGee Corporation collection,WHC-P-2232_0028,"Anderson and Kerr Drilling Company steam boiler rigs near St. Louis, Oklahoma","Black and white photograph depicting the first Anderson and Kerr Drilling Company steam boiler rigs two miles north of St. Louis, Oklahoma circa 1922.",circa 1922,,,,chronological: 1922 | corporate_name: Anderson and Kerr Drilling Company | form_genre: Photographs | geographic: Oklahoma | geographic: St. Louis (Okla.) | topical: Oil drilling | topical: Oil industry | topical: Oil rigs | topical: Steam boilers
Kerr-McGee Corporation collection,WHC-P-2232_0030,Mine worker operating a winch,Black and white photograph depicting a mine worker operating a winch in an unidentified mine.,circa 1960-1975,,,,form_genre: Photographs | topical: Industrial machinery | topical: Mine workers | topical: Mining | topical: Winches
Kerr-McGee Corporation collection,WHC-P-2232_0031,Laboratory technician working with plutonium pellets,"Black and white photograph depicting a laboratory worker, likely a Kerr-McGee Corporation employee, working with plutonium pellets using encased rubber gloves in a glovebox.",circa 1965-1975,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | topical: Gloveboxes | topical: Laboratory workers | topical: Nuclear fuel | topical: Plutonium
Kerr-McGee Corporation collection,WHC-P-2232_0033,Cato Oil and Grease Company employee working with the grease machine in production,Black and white photograph depicting a Cato Oil and Grease Company employee working with the grease machine in production in 1977.,1977,,,,chronological: 1977 | corporate_name: Cato Oil and Grease Company | form_genre: Photographs | topical: Industrial hygiene | topical: Industrial machinery | topical: Lubricating grease | topical: Manufacturing plants
Kerr-McGee Corporation collection,WHC-P-2232_0035,Kerr-McGee employee using a Geiger counter to search for uranium,Color photograph depicting a Kerr-McGee employee standard near rocks using a Geiger counter to detect uranium. The employee is participating in a uranium exploration. A helicopter is depicted in the background of the image.,circa 1952-1970,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | topical: Geiger counters | topical: Helicopters | topical: Mineral exploration | topical: Uranium | topical: Uranium prospecting
